run_label,temperature,sample_index,mode,question,prompt,gold,prediction,is_valid
final,0.0,0,base,What is terrence ross' nationality,"Translate question to SQL. Question: What is terrence ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrence Ross';,"Query: What is Terrence Ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",False
final,0.0,0,fine_tuned,What is terrence ross' nationality,"Translate question to SQL. Question: What is terrence ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrence Ross';,SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrince Ross';,True
final,0.0,0,base_constrained,What is terrence ross' nationality,"Translate question to SQL. Question: What is terrence ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrence Ross';,SELECT SU,False
final,0.0,0,fine_tuned_constrained,What is terrence ross' nationality,"Translate question to SQL. Question: What is terrence ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrence Ross';,SELECT Nationality FROM 1-10015132-16 WHERE Player = 'terrence ross'' na,False
final,0.0,1,base,What clu was in toronto 1995-96,"Translate question to SQL. Question: What clu was in toronto 1995-96 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,"What clu was in toronto 1995-96 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",False
final,0.0,1,fine_tuned,What clu was in toronto 1995-96,"Translate question to SQL. Question: What clu was in toronto 1995-96 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,True
final,0.0,1,base_constrained,What clu was in toronto 1995-96,"Translate question to SQL. Question: What clu was in toronto 1995-96 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,SELECT SU,False
final,0.0,1,fine_tuned_constrained,What clu was in toronto 1995-96,"Translate question to SQL. Question: What clu was in toronto 1995-96 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '1995-96';,True
final,0.0,2,base,which club was in toronto 2003-06,"Translate question to SQL. Question: which club was in toronto 2003-06 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,"WHICH CLUB WAS IN TORONTO 2003-06 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",False
final,0.0,2,fine_tuned,which club was in toronto 2003-06,"Translate question to SQL. Question: which club was in toronto 2003-06 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,True
final,0.0,2,base_constrained,which club was in toronto 2003-06,"Translate question to SQL. Question: which club was in toronto 2003-06 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,,False
final,0.0,2,fine_tuned_constrained,which club was in toronto 2003-06,"Translate question to SQL. Question: which club was in toronto 2003-06 Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,SELECT School/Club Team FROM 1-10015132-16 WHERE Years in Toronto = '2003-06';,True
final,0.3,0,base,What is terrence ross' nationality,"Translate question to SQL. Question: What is terrence ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",SELECT Nationality FROM 1-10015132-16 WHERE Player = 'Terrence Ross';,"Query: What is Terrence Ross' nationality Table: 1-10015132-16 Schema: Player, No., Nationality, Position, Years in Toronto, School/Club Team",False
